iter	Passed	Remaining
0	137	137399
1	146	72911
2	156	52125
3	167	41650
4	177	35300
5	186	30933
6	196	27861
7	204	25353
8	210	23168
9	214	21267
10	219	19734
11	223	18375
12	226	17171
13	229	16138
14	232	15246
15	234	14399
16	236	13693
17	239	13060
18	242	12524
19	245	12011
20	248	11561
21	250	11146
22	254	10829
23	259	10537
24	262	10223
25	264	9924
26	267	9653
27	271	9414
28	273	9167
29	276	8932
30	279	8729
31	281	8530
32	284	8344
33	287	8173
34	290	8021
35	293	7867
36	296	7719
37	299	7583
38	302	7452
39	304	7307
40	307	7187
41	310	7082
42	312	6958
43	315	6855
44	318	6757
45	321	6661
46	324	6571
47	326	6483
48	330	6406
49	332	6324
50	335	6248
51	338	6174
52	341	6107
53	345	6045
54	348	5979
55	350	5915
56	353	5851
57	356	5794
58	359	5732
59	362	5675
60	366	5636
61	369	5584
62	372	5536
63	375	5494
64	378	5445
65	381	5402
66	385	5362
67	388	5319
68	390	5274
69	394	5237
70	397	5195
71	400	5159
72	403	5127
73	406	5090
74	409	5049
75	412	5019
76	415	4984
77	418	4949
78	421	4915
79	424	4883
80	427	4850
81	430	4818
82	433	4789
83	436	4760
84	439	4731
85	442	4705
86	445	4680
87	449	4654
88	452	4628
89	455	4604
90	458	4579
91	462	4560
92	464	4533
93	467	4505
94	470	4482
95	473	4461
96	476	4437
97	479	4417
98	482	4394
99	485	4372
100	488	4350
101	506	4460
102	509	4440
103	512	4417
104	515	4393
105	518	4370
106	521	4349
107	524	4328
108	526	4306
109	529	4287
110	533	4270
111	536	4252
112	539	4236
113	542	4218
114	545	4201
115	548	4183
116	551	4162
117	554	4145
118	557	4130
119	561	4114
120	563	4095
121	566	4079
122	569	4062
123	572	4044
124	575	4028
125	578	4012
126	581	3995
127	584	3979
128	586	3963
129	590	3950
130	593	3934
131	596	3920
132	599	3909
133	602	3895
134	605	3881
135	608	3867
136	611	3851
137	614	3836
138	617	3824
139	620	3811
140	623	3797
141	626	3785
142	628	3769
143	631	3755
144	635	3745
145	637	3731
146	640	3716
147	643	3704
148	646	3692
149	649	3677
150	651	3663
151	654	3651
152	657	3640
153	660	3629
154	663	3618
155	666	3607
156	669	3596
157	672	3584
158	675	3571
159	678	3559
160	680	3548
161	683	3537
162	686	3526
163	689	3515
164	692	3503
165	694	3491
166	697	3480
167	701	3474
168	704	3464
169	707	3454
170	710	3444
171	713	3432
172	716	3423
173	719	3413
174	722	3405
175	725	3395
176	727	3384
177	730	3375
178	733	3366
179	736	3355
180	739	3347
181	742	3338
182	745	3329
183	749	3322
184	752	3312
185	754	3303
186	758	3296
187	760	3286
188	763	3277
189	766	3269
190	769	3261
191	772	3252
192	775	3243
193	779	3236
194	782	3228
195	784	3219
196	787	3210
197	790	3201
198	793	3192
199	796	3185
200	799	3177
201	802	3169
202	805	3161
203	808	3153
204	811	3145
205	813	3136
206	816	3129
207	819	3119
208	821	3110
209	824	3102
210	827	3095
211	830	3087
212	832	3075
213	835	3068
214	838	3061
215	841	3053
216	844	3046
217	847	3039
218	848	3027
219	851	3020
220	854	3013
221	857	3006
222	860	2998
223	863	2991
224	866	2983
225	869	2976
226	871	2968
227	874	2961
228	877	2954
229	880	2947
230	883	2940
231	886	2933
232	888	2925
233	892	2920
234	895	2914
235	898	2908
236	901	2902
237	904	2896
238	907	2890
239	910	2882
240	913	2876
241	916	2870
242	919	2863
243	922	2856
244	924	2850
245	927	2844
246	930	2837
247	933	2831
248	936	2824
249	939	2817
250	941	2810
251	944	2803
252	947	2797
253	950	2791
254	954	2787
255	957	2782
256	960	2775
257	963	2769
258	966	2763
259	968	2757
260	971	2751
261	974	2745
262	977	2739
263	980	2733
264	982	2726
265	985	2719
266	988	2713
267	991	2708
268	994	2702
269	997	2696
270	1000	2690
271	1003	2686
272	1006	2680
273	1009	2675
274	1012	2668
275	1015	2662
276	1018	2658
277	1021	2652
278	1023	2646
279	1026	2640
280	1029	2634
281	1032	2629
282	1035	2623
283	1038	2618
284	1041	2612
285	1044	2606
286	1047	2601
287	1050	2596
288	1053	2591
289	1056	2586
290	1059	2581
291	1062	2576
292	1065	2571
293	1068	2565
294	1071	2559
295	1074	2554
296	1076	2549
297	1079	2543
298	1082	2538
299	1085	2533
300	1088	2528
301	1091	2523
302	1094	2517
303	1097	2513
304	1100	2507
305	1103	2503
306	1106	2498
307	1109	2493
308	1113	2488
309	1123	2500
310	1126	2495
311	1129	2490
312	1132	2485
313	1136	2482
314	1139	2477
315	1142	2472
316	1145	2467
317	1148	2462
318	1151	2457
319	1154	2453
320	1157	2448
321	1160	2443
322	1163	2438
323	1166	2434
324	1169	2429
325	1172	2424
326	1175	2419
327	1178	2414
328	1181	2409
329	1184	2404
330	1187	2399
331	1190	2395
332	1193	2390
333	1196	2385
334	1199	2380
335	1202	2375
336	1204	2370
337	1207	2365
338	1210	2359
339	1213	2355
340	1216	2350
341	1218	2345
342	1221	2340
343	1224	2334
344	1227	2330
345	1231	2327
346	1235	2324
347	1238	2319
348	1241	2314
349	1243	2308
350	1246	2303
351	1248	2299
352	1251	2294
353	1254	2289
354	1257	2284
355	1260	2280
356	1263	2275
357	1266	2271
358	1269	2266
359	1272	2261
360	1275	2257
361	1278	2252
362	1281	2248
363	1284	2243
364	1287	2239
365	1290	2235
366	1293	2231
367	1296	2226
368	1299	2221
369	1302	2216
370	1304	2212
371	1308	2208
372	1310	2203
373	1313	2198
374	1316	2194
375	1319	2189
376	1322	2185
377	1325	2180
378	1327	2175
379	1330	2171
380	1334	2167
381	1336	2162
382	1339	2157
383	1342	2152
384	1345	2149
385	1348	2144
386	1351	2140
387	1354	2136
388	1357	2132
389	1360	2127
390	1363	2124
391	1366	2119
392	1369	2114
393	1372	2110
394	1375	2106
395	1378	2102
396	1381	2098
397	1384	2093
398	1387	2089
399	1390	2085
400	1393	2081
401	1396	2077
402	1399	2072
403	1402	2068
404	1405	2064
405	1407	2059
406	1410	2055
407	1413	2051
408	1416	2047
409	1419	2043
410	1423	2039
411	1426	2035
412	1428	2030
413	1431	2026
414	1434	2022
415	1438	2018
416	1441	2014
417	1444	2010
418	1447	2006
419	1449	2001
420	1452	1997
421	1455	1993
422	1458	1988
423	1460	1984
424	1463	1980
425	1466	1976
426	1469	1971
427	1472	1967
428	1474	1963
429	1477	1958
430	1480	1954
431	1483	1950
432	1486	1946
433	1490	1943
434	1492	1939
435	1495	1934
436	1498	1930
437	1501	1926
438	1504	1922
439	1507	1918
440	1509	1913
441	1512	1909
442	1515	1905
443	1518	1901
444	1521	1897
445	1524	1893
446	1527	1889
447	1530	1885
448	1533	1881
449	1535	1877
450	1538	1873
451	1541	1869
452	1544	1864
453	1547	1861
454	1550	1856
455	1552	1852
456	1555	1848
457	1558	1844
458	1561	1840
459	1564	1836
460	1567	1832
461	1569	1828
462	1573	1824
463	1576	1821
464	1579	1817
465	1582	1813
466	1585	1809
467	1588	1805
468	1591	1801
469	1594	1798
470	1597	1794
471	1600	1790
472	1603	1786
473	1606	1782
474	1609	1778
475	1612	1774
476	1615	1771
477	1618	1767
478	1621	1763
479	1624	1760
480	1627	1756
481	1630	1752
482	1633	1748
483	1636	1744
484	1639	1740
485	1647	1742
486	1651	1739
487	1653	1735
488	1656	1730
489	1659	1726
490	1678	1739
491	1683	1738
492	1689	1737
493	1694	1736
494	1701	1735
495	1706	1733
496	1711	1732
497	1716	1730
498	1721	1728
499	1726	1726
500	1730	1723
501	1734	1720
502	1738	1717
503	1741	1713
504	1744	1709
505	1747	1705
506	1750	1701
507	1752	1697
508	1755	1693
509	1758	1689
510	1761	1685
511	1763	1681
512	1766	1677
513	1769	1673
514	1772	1669
515	1775	1665
516	1779	1662
517	1781	1658
518	1784	1654
519	1787	1650
520	1790	1646
521	1793	1642
522	1797	1639
523	1799	1634
524	1802	1630
525	1805	1627
526	1808	1623
527	1811	1619
528	1814	1615
529	1817	1612
530	1820	1608
531	1823	1604
532	1826	1600
533	1829	1596
534	1832	1592
535	1835	1588
536	1837	1584
537	1840	1580
538	1844	1577
539	1846	1573
540	1849	1569
541	1852	1565
542	1856	1562
543	1858	1558
544	1861	1554
545	1864	1550
546	1867	1546
547	1870	1542
548	1873	1539
549	1876	1535
550	1879	1531
551	1882	1527
552	1885	1523
553	1888	1520
554	1891	1516
555	1894	1512
556	1897	1508
557	1899	1504
558	1902	1501
559	1905	1497
560	1908	1493
561	1911	1489
562	1914	1486
563	1917	1482
564	1920	1478
565	1923	1474
566	1926	1471
567	1929	1467
568	1931	1463
569	1934	1459
570	1937	1455
571	1940	1451
572	1943	1448
573	1946	1444
574	1948	1440
575	1951	1436
576	1953	1432
577	1956	1428
578	1959	1424
579	1962	1421
580	1965	1417
581	1968	1413
582	1971	1410
583	1974	1406
584	1977	1402
585	1980	1399
586	1983	1395
587	1986	1391
588	1989	1388
589	1992	1384
590	1995	1380
591	1998	1377
592	2001	1373
593	2004	1369
594	2007	1366
595	2010	1362
596	2012	1358
597	2016	1355
598	2018	1351
599	2021	1347
600	2024	1343
601	2027	1340
602	2030	1336
603	2033	1332
604	2036	1329
605	2039	1325
606	2042	1322
607	2045	1318
608	2047	1314
609	2050	1311
610	2053	1307
611	2056	1304
612	2059	1300
613	2063	1296
614	2079	1301
615	2082	1298
616	2109	1309
617	2114	1306
618	2118	1303
619	2121	1300
620	2125	1297
621	2128	1293
622	2131	1289
623	2134	1286
624	2137	1282
625	2140	1278
626	2142	1274
627	2145	1270
628	2148	1266
629	2150	1263
630	2153	1259
631	2156	1255
632	2159	1252
633	2162	1248
634	2165	1244
635	2168	1241
636	2171	1237
637	2174	1233
638	2177	1230
639	2180	1226
640	2183	1222
641	2186	1219
642	2189	1215
643	2192	1212
644	2195	1208
645	2198	1204
646	2201	1201
647	2204	1197
648	2207	1194
649	2211	1190
650	2214	1187
651	2218	1184
652	2221	1180
653	2224	1176
654	2227	1173
655	2230	1169
656	2233	1166
657	2236	1162
658	2239	1158
659	2242	1155
660	2245	1151
661	2248	1147
662	2250	1144
663	2253	1140
664	2256	1136
665	2259	1133
666	2262	1129
667	2265	1125
668	2268	1122
669	2271	1118
670	2274	1115
671	2277	1111
672	2280	1108
673	2283	1104
674	2286	1101
675	2289	1097
676	2292	1093
677	2295	1090
678	2298	1086
679	2301	1082
680	2304	1079
681	2307	1075
682	2310	1072
683	2313	1068
684	2316	1065
685	2319	1061
686	2322	1057
687	2324	1054
688	2327	1050
689	2330	1047
690	2333	1043
691	2335	1039
692	2338	1036
693	2341	1032
694	2344	1028
695	2347	1025
696	2350	1021
697	2353	1018
698	2356	1014
699	2359	1011
700	2361	1007
701	2365	1004
702	2368	1000
703	2370	996
704	2373	993
705	2376	989
706	2379	986
707	2382	982
708	2385	979
709	2388	975
710	2391	972
711	2394	968
712	2397	965
713	2400	961
714	2403	958
715	2406	954
716	2409	950
717	2412	947
718	2415	944
719	2418	940
720	2421	936
721	2424	933
722	2427	930
723	2430	926
724	2433	923
725	2436	919
726	2439	916
727	2442	912
728	2444	908
729	2448	905
730	2451	902
731	2454	898
732	2457	895
733	2460	891
734	2463	888
735	2466	884
736	2469	881
737	2472	877
738	2474	874
739	2477	870
740	2480	867
741	2483	863
742	2486	860
743	2489	856
744	2492	853
745	2495	849
746	2498	846
747	2501	842
748	2504	839
749	2506	835
750	2510	832
751	2513	828
752	2515	825
753	2518	821
754	2522	818
755	2525	814
756	2527	811
757	2531	808
758	2534	804
759	2536	801
760	2539	797
761	2542	794
762	2545	790
763	2548	787
764	2551	783
765	2553	780
766	2556	776
767	2559	773
768	2562	769
769	2565	766
770	2568	762
771	2570	759
772	2574	755
773	2577	752
774	2580	749
775	2582	745
776	2585	742
777	2589	738
778	2591	735
779	2594	731
780	2598	728
781	2600	725
782	2604	721
783	2607	718
784	2609	714
785	2612	711
786	2615	707
787	2618	704
788	2621	701
789	2624	697
790	2627	694
791	2630	690
792	2633	687
793	2635	683
794	2638	680
795	2641	677
796	2644	673
797	2647	670
798	2650	666
799	2654	663
800	2657	660
801	2660	656
802	2663	653
803	2665	649
804	2668	646
805	2671	643
806	2674	639
807	2677	636
808	2680	632
809	2683	629
810	2685	625
811	2688	622
812	2691	619
813	2694	615
814	2697	612
815	2700	609
816	2703	605
817	2707	602
818	2710	598
819	2713	595
820	2715	592
821	2718	588
822	2722	585
823	2725	582
824	2728	578
825	2731	575
826	2734	571
827	2736	568
828	2739	565
829	2742	561
830	2745	558
831	2748	554
832	2751	551
833	2754	548
834	2757	544
835	2760	541
836	2763	538
837	2766	534
838	2769	531
839	2772	528
840	2775	524
841	2778	521
842	2781	518
843	2784	514
844	2787	511
845	2790	508
846	2793	504
847	2796	501
848	2799	497
849	2802	494
850	2804	491
851	2807	487
852	2810	484
853	2813	481
854	2816	477
855	2819	474
856	2822	470
857	2825	467
858	2828	464
859	2831	461
860	2835	457
861	2838	454
862	2840	450
863	2843	447
864	2846	444
865	2849	440
866	2852	437
867	2855	434
868	2858	430
869	2861	427
870	2864	424
871	2868	421
872	2871	417
873	2874	414
874	2877	411
875	2880	407
876	2883	404
877	2886	401
878	2889	397
879	2891	394
880	2894	391
881	2897	387
882	2900	384
883	2903	381
884	2907	377
885	2909	374
886	2912	371
887	2915	367
888	2918	364
889	2921	361
890	2924	357
891	2927	354
892	2929	351
893	2932	347
894	2935	344
895	2938	341
896	2942	337
897	2945	334
898	2948	331
899	2951	327
900	2954	324
901	2957	321
902	2960	318
903	2963	314
904	2966	311
905	2969	308
906	2972	304
907	2975	301
908	2978	298
909	2981	294
910	2984	291
911	2986	288
912	2989	284
913	2993	281
914	2996	278
915	3000	275
916	3002	271
917	3006	268
918	3009	265
919	3012	261
920	3015	258
921	3018	255
922	3021	252
923	3024	248
924	3027	245
925	3030	242
926	3033	238
927	3036	235
928	3040	232
929	3043	229
930	3046	225
931	3049	222
932	3052	219
933	3055	215
934	3058	212
935	3061	209
936	3064	206
937	3067	202
938	3071	199
939	3074	196
940	3077	192
941	3080	189
942	3083	186
943	3086	183
944	3088	179
945	3091	176
946	3095	173
947	3098	169
948	3100	166
949	3104	163
950	3107	160
951	3110	156
952	3113	153
953	3116	150
954	3119	146
955	3122	143
956	3125	140
957	3128	137
958	3131	133
959	3134	130
960	3137	127
961	3140	124
962	3143	120
963	3146	117
964	3149	114
965	3152	110
966	3155	107
967	3158	104
968	3161	101
969	3165	97
970	3167	94
971	3171	91
972	3174	88
973	3176	84
974	3179	81
975	3182	78
976	3185	75
977	3189	71
978	3192	68
979	3196	65
980	3200	61
981	3203	58
982	3205	55
983	3208	52
984	3211	48
985	3214	45
986	3217	42
987	3220	39
988	3223	35
989	3226	32
990	3229	29
991	3232	26
992	3235	22
993	3237	19
994	3241	16
995	3243	13
996	3246	9
997	3249	6
998	3252	3
999	3255	0
